선수,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,팀,pid,연봉(만원),연도,포지션구분,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid_new
김기탁,투수,-0.22,19,0,19,4,0,0,0,0,0,4,12.1,8,10,10.5,58,14,4,1,0,7,1,0,12,1,0,0,5.84,7.3,7.66,7.78,3.35,1.7,-0.22,한화 이글스,12875,3300,2021,투수,,,,,,,,,,,,,,,,,,,,,
이충호,투수,-0.24,17,0,17,3,0,0,1,0,0,0,16.1,14,17,15.1,85,20,2,2,1,13,3,0,11,2,0,0,7.71,9.37,8.32,8.19,5.85,2.02,-0.24,한화 이글스,11116,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
정우람,투수,-0.24,50,0,50,37,0,0,1,4,15,1,44.2,28,29,29.85,199,47,5,0,5,20,5,2,32,2,0,0,5.64,5.84,6.01,6.26,4.9,1.5,-0.24,한화 이글스,10156,80000,2021,투수,,,,,,,,,,,,,,,,,,,,,
장시환,투수,-0.36,19,16,3,2,1,0,0,11,0,1,69.0,54,62,57.0,342,87,12,1,4,48,6,2,47,6,0,7,7.04,8.09,7.43,7.67,5.18,1.96,-0.36,한화 이글스,10453,15400,2021,투수,,,,,,,,,,,,,,,,,,,,,
이승관,투수,-0.82,8,2,6,1,0,0,0,2,0,0,5.2,17,20,17.05,44,11,3,1,1,16,0,0,5,0,0,1,27.0,31.76,27.08,28.38,12.41,4.76,-0.82,한화 이글스,13135,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
임준섭,투수,-0.86,13,0,13,2,0,0,0,0,0,0,10.2,13,18,17.8,64,19,5,0,1,8,4,0,11,3,1,1,10.97,15.19,15.02,16.6,5.79,2.53,-0.86,한화 이글스,10795,5800,2021,투수,,,,,,,,,,,,,,,,,,,,,
신정락,투수,-1.24,20,0,20,4,0,0,0,2,0,2,20.0,19,24,26.45,102,25,6,1,3,15,3,2,14,2,0,0,8.55,10.8,11.9,12.12,6.28,2.0,-1.24,한화 이글스,10516,8000,2021,투수,,,,,,,,,,,,,,,,,,,,,
켈리,투수,5.89,30,30,0,0,0,0,13,8,0,0,177.0,62,64,63.15,744,160,25,0,12,60,11,3,142,7,1,7,3.15,3.25,3.21,3.38,3.76,1.24,5.89,LG 트윈스,13934,70000,2021,투수,,,,,,,,,,,,,,,,,,,,,
수아레즈,투수,4.72,23,22,1,0,0,0,10,2,0,0,115.1,28,33,33.0,473,91,16,2,4,41,4,0,126,6,0,2,2.18,2.58,2.58,2.75,2.66,1.14,4.72,LG 트윈스,14753,40000,2021,투수,,,,,,,,,,,,,,,,,,,,,
정우영,투수,2.72,70,0,70,6,0,0,7,3,2,27,65.0,16,16,19.6,263,43,9,0,0,26,8,1,41,3,0,2,2.22,2.22,2.71,2.83,3.76,1.06,2.72,LG 트윈스,14136,18000,2021,투수,,,,,,,,,,,,,,,,,,,,,
고우석,투수,2.63,63,0,63,61,0,0,1,5,30,0,58.0,14,15,16.9,240,47,10,1,3,23,3,5,68,1,0,1,2.17,2.33,2.62,2.75,2.63,1.21,2.63,LG 트윈스,12907,18000,2021,투수,,,,,,,,,,,,,,,,,,,,,
이민호,투수,2.37,25,22,3,0,0,0,8,9,0,0,115.0,55,58,54.75,477,89,17,0,13,45,14,1,100,3,0,6,4.3,4.54,4.28,4.52,4.53,1.17,2.37,LG 트윈스,14589,7000,2021,투수,,,,,,,,,,,,,,,,,,,,,
김대유,투수,2.01,64,0,64,3,0,0,4,1,0,24,50.2,12,13,15.1,209,32,1,0,2,15,9,0,56,2,0,2,2.13,2.31,2.68,2.83,2.94,0.93,2.01,LG 트윈스,10706,4000,2021,투수,,,,,,,,,,,,,,,,,,,,,
임찬규,투수,1.88,17,17,0,0,0,0,1,8,0,0,90.2,39,45,42.05,387,76,9,3,7,41,3,1,67,4,0,5,3.87,4.47,4.17,4.5,4.31,1.29,1.88,LG 트윈스,10652,22000,2021,투수,,,,,,,,,,,,,,,,,,,,,
이정용,투수,1.72,66,0,66,5,0,0,3,3,0,15,69.2,23,25,28.2,284,55,13,2,4,23,1,1,74,3,0,0,2.97,3.23,3.64,3.8,2.82,1.12,1.72,LG 트윈스,14134,5000,2021,투수,,,,,,,,,,,,,,,,,,,,,
진해수,투수,0.98,50,0,50,9,0,0,1,0,0,5,44.1,12,17,16.85,188,41,4,0,2,18,3,1,39,2,0,1,2.44,3.45,3.42,3.78,3.5,1.33,0.98,LG 트윈스,10075,25000,2021,투수,,,,,,,,,,,,,,,,,,,,,
정찬헌,투수,0.9,12,12,0,0,0,0,6,2,0,0,58.0,26,29,29.0,249,69,12,2,5,12,2,0,31,1,0,2,4.03,4.5,4.5,4.98,4.2,1.4,0.9,LG 트윈스,10533,20000,2021,투수,,,,,,,,,,,,,,,,,,,,,
임준형,투수,0.81,6,4,2,1,0,0,1,0,0,0,23.0,8,8,6.95,94,24,5,0,0,4,3,0,21,0,0,1,3.13,3.13,2.72,3.12,2.43,1.22,0.81,LG 트윈스,14142,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
송은범,투수,0.81,35,0,35,2,0,0,2,2,0,4,37.1,17,18,16.1,155,34,7,0,1,13,2,1,19,1,0,4,4.1,4.34,3.88,4.02,4.06,1.26,0.81,LG 트윈스,10137,27000,2021,투수,,,,,,,,,,,,,,,,,,,,,
백승현,투수,0.68,16,0,16,3,0,0,0,0,0,1,16.2,4,4,4.05,66,13,2,0,0,4,2,0,10,0,0,0,2.16,2.16,2.19,2.31,3.38,1.02,0.68,LG 트윈스,13009,4000,2021,투수,,,,,,,,,,,,,,,,,,,,,
이상영,투수,0.63,21,9,12,8,0,0,1,1,0,0,50.0,24,28,27.5,228,48,8,0,7,32,8,0,30,3,0,3,4.32,5.04,4.95,5.21,6.41,1.6,0.63,LG 트윈스,14135,3100,2021,투수,,,,,,,,,,,,,,,,,,,,,
김윤식,투수,0.61,35,3,32,0,0,0,7,4,0,1,66.2,33,37,37.55,301,65,9,2,3,36,6,2,56,3,2,0,4.46,5.0,5.07,5.35,4.11,1.52,0.61,LG 트윈스,14588,5000,2021,투수,,,,,,,,,,,,,,,,,,,,,
최성훈,투수,0.57,46,0,46,11,0,0,1,1,0,3,40.2,11,14,19.8,179,40,7,1,2,19,1,1,33,4,0,0,2.43,3.1,4.38,4.71,3.85,1.45,0.57,LG 트윈스,10851,7200,2021,투수,,,,,,,,,,,,,,,,,,,,,
배재준,투수,0.38,15,6,9,4,0,0,2,2,0,0,32.2,15,17,19.05,151,42,10,0,1,13,3,0,23,4,0,1,4.13,4.68,5.25,5.31,3.89,1.68,0.38,LG 트윈스,12697,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
차우찬,투수,0.33,5,5,0,0,0,0,2,1,0,0,22.1,13,14,12.45,99,16,3,0,2,13,3,0,12,2,0,0,5.24,5.64,5.02,5.1,5.71,1.3,0.33,LG 트윈스,10381,30000,2021,투수,,,,,,,,,,,,,,,,,,,,,
함덕주,투수,0.32,16,3,13,3,0,0,1,2,0,1,21.0,10,11,10.0,98,20,2,1,2,13,3,1,18,2,0,2,4.29,4.71,4.29,4.75,5.12,1.57,0.32,LG 트윈스,11094,16500,2021,투수,,,,,,,,,,,,,,,,,,,,,
채지선,투수,0.2,14,0,14,7,0,0,0,0,0,0,17.1,6,8,9.2,87,15,5,0,0,20,0,0,18,2,2,2,3.12,4.15,4.78,5.06,4.75,2.02,0.2,LG 트윈스,11387,3500,2021,투수,,,,,,,,,,,,,,,,,,,,,
김지용,투수,0.17,3,0,3,2,0,0,0,0,0,0,4.0,0,0,0.0,16,2,2,0,0,1,1,0,5,0,0,0,0.0,0.0,0.0,0.0,2.19,0.75,0.17,LG 트윈스,10747,7000,2021,투수,,,,,,,,,,,,,,,,,,,,,
류원석,투수,0.12,6,0,6,1,0,0,0,0,0,0,6.0,4,4,2.45,28,1,1,0,0,9,1,0,8,1,0,0,6.0,6.0,3.68,3.86,5.6,1.67,0.12,LG 트윈스,13251,3300,2021,투수,,,,,,,,,,,,,,,,,,,,,
김진수,투수,0.04,3,0,3,2,0,0,0,0,0,0,2.1,1,1,1.0,9,2,1,0,0,0,0,0,2,0,0,0,3.86,3.86,3.86,4.42,1.62,0.86,0.04,LG 트윈스,14781,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
고효준,투수,-0.01,3,0,3,0,0,0,0,0,0,0,2.1,1,1,1.5,10,3,0,1,0,0,0,0,1,0,0,0,3.86,3.86,5.79,6.63,2.7,1.29,-0.01,LG 트윈스,10124,5000,2021,투수,,,,,,,,,,,,,,,,,,,,,
최동환,투수,-0.03,8,0,8,1,0,0,0,0,0,0,5.2,6,6,3.95,28,6,1,0,0,4,2,0,2,0,0,0,9.53,9.53,6.27,6.94,6.17,1.76,-0.03,LG 트윈스,10535,12000,2021,투수,,,,,,,,,,,,,,,,,,,,,
김태형,투수,-0.04,2,0,2,0,0,0,0,0,0,0,1.0,3,3,1.45,6,0,0,0,0,2,1,0,1,0,0,0,27.0,27.0,13.05,12.36,10.57,2.0,-0.04,LG 트윈스,12863,3100,2021,투수,,,,,,,,,,,,,,,,,,,,,
오석주,투수,-0.04,9,0,9,5,0,0,0,0,0,0,8.1,6,6,6.5,38,9,1,0,0,6,0,0,7,0,0,0,6.48,6.48,7.02,7.55,3.9,1.8,-0.04,LG 트윈스,12860,3100,2021,투수,,,,,,,,,,,,,,,,,,,,,
이상규,투수,-0.06,7,0,7,4,0,0,0,0,0,0,6.0,6,6,5.65,29,8,2,0,1,2,1,0,4,1,0,0,9.0,9.0,8.48,8.73,5.63,1.67,-0.06,LG 트윈스,13245,4000,2021,투수,,,,,,,,,,,,,,,,,,,,,
이찬혁,투수,-0.07,1,0,1,1,0,0,0,0,0,0,1.0,2,2,2.0,6,1,1,0,0,2,0,0,2,0,0,1,18.0,18.0,18.0,19.06,4.97,3.0,-0.07,LG 트윈스,12909,3100,2021,투수,,,,,,,,,,,,,,,,,,,,,
이우찬,투수,-0.16,15,5,10,2,0,0,0,1,0,0,34.0,21,25,23.8,161,36,3,1,3,25,1,0,27,3,0,0,5.56,6.62,6.3,7.08,5.2,1.79,-0.16,LG 트윈스,10749,5000,2021,투수,,,,,,,,,,,,,,,,,,,,,
김대현,투수,-0.33,4,0,4,2,0,0,0,0,0,0,3.2,5,8,7.15,23,7,4,0,2,3,1,0,4,1,0,0,12.27,19.64,17.55,17.98,10.91,2.73,-0.33,LG 트윈스,12532,8000,2021,투수,,,,,,,,,,,,,,,,,,,,,
박세웅,투수,5.06,28,28,0,1,1,1,10,9,0,0,163.0,72,75,72.4,685,141,24,0,20,53,10,0,125,7,0,17,3.98,4.14,4.0,3.8,4.51,1.19,5.06,롯데 자이언츠,11310,16500,2021,투수,,,,,,,,,,,,,,,,,,,,,
스트레일리,투수,4.31,31,31,0,0,0,0,10,12,0,0,165.2,75,85,81.6,714,162,25,2,12,67,7,0,164,8,1,8,4.07,4.62,4.43,4.24,3.54,1.38,4.31,롯데 자이언츠,14627,90000,2021,투수,,,,,,,,,,,,,,,,,,,,,
최준용,투수,2.16,44,0,44,6,0,0,4,2,1,20,47.1,15,16,14.8,195,41,7,0,6,16,1,3,45,1,0,1,2.85,3.04,2.81,2.69,3.95,1.2,2.16,롯데 자이언츠,14624,4200,2021,투수,,,,,,,,,,,,,,,,,,,,,
프랑코,투수,2.11,37,27,10,1,0,0,9,8,0,1,150.0,90,97,95.95,677,147,31,2,20,75,20,0,124,6,1,6,5.4,5.82,5.76,5.37,5.25,1.48,2.11,롯데 자이언츠,14756,24500,2021,투수,,,,,,,,,,,,,,,,,,,,,
김원중,투수,2.07,61,0,61,55,0,0,4,4,35,0,62.2,25,26,27.9,268,50,8,0,6,28,3,4,64,2,0,8,3.59,3.73,4.01,3.78,3.79,1.24,2.07,롯데 자이언츠,10825,17000,2021,투수,,,,,,,,,,,,,,,,,,,,,
구승민,투수,1.55,68,0,68,7,0,0,6,5,0,20,62.1,30,30,30.0,262,47,7,2,5,31,4,0,65,1,1,4,4.33,4.33,4.33,4.09,3.86,1.25,1.55,롯데 자이언츠,11291,15000,2021,투수,,,,,,,,,,,,,,,,,,,,,
이인복,투수,1.27,25,8,17,9,0,0,3,0,0,1,61.1,28,31,34.05,271,75,17,3,5,14,5,1,45,3,0,0,4.11,4.55,5.0,4.87,3.81,1.45,1.27,롯데 자이언츠,11232,4800,2021,투수,,,,,,,,,,,,,,,,,,,,,
이승헌,투수,0.78,16,12,4,2,0,0,0,3,0,0,57.2,37,39,36.25,278,65,10,0,2,43,7,0,31,3,1,11,5.77,6.09,5.66,5.3,5.52,1.87,0.78,롯데 자이언츠,13146,4200,2021,투수,,,,,,,,,,,,,,,,,,,,,
김도규,투수,0.36,43,0,43,7,0,0,2,1,0,5,42.0,27,28,26.35,182,41,5,1,3,22,0,1,39,1,0,2,5.79,6.0,5.65,5.49,3.92,1.5,0.36,롯데 자이언츠,13148,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
김진욱,투수,0.27,39,5,34,2,0,0,4,6,0,8,45.2,32,32,33.35,227,42,9,0,3,49,3,3,45,0,0,15,6.31,6.31,6.57,6.1,5.62,1.99,0.27,롯데 자이언츠,14792,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
최영환,투수,0.26,20,7,13,3,0,0,1,2,0,0,40.2,28,30,28.65,181,45,10,0,4,24,2,0,28,0,0,4,6.2,6.64,6.34,6.17,5.2,1.7,0.26,롯데 자이언츠,11276,3500,2021,투수,,,,,,,,,,,,,,,,,,,,,
진명호,투수,0.22,33,0,33,3,0,0,2,2,0,3,24.1,13,14,15.5,107,20,5,0,3,14,2,0,24,1,0,1,4.81,5.18,5.73,5.45,4.81,1.4,0.22,롯데 자이언츠,10301,7500,2021,투수,,,,,,,,,,,,,,,,,,,,,
김대우,투수,0.21,39,0,39,4,0,0,2,2,0,9,35.1,20,22,23.2,160,32,7,0,4,24,4,0,31,3,0,5,5.09,5.6,5.91,5.61,5.38,1.58,0.21,롯데 자이언츠,10271,5000,2021,투수,,,,,,,,,,,,,,,,,,,,,
김건국,투수,0.13,13,0,13,0,0,0,0,0,0,0,22.0,16,16,15.3,104,27,8,0,3,14,0,0,17,1,0,2,6.55,6.55,6.26,6.12,5.43,1.86,0.13,롯데 자이언츠,12944,6000,2021,투수,,,,,,,,,,,,,,,,,,,,,
나균안,투수,0.1,23,7,16,3,0,0,1,2,1,1,46.1,33,36,35.45,223,62,13,0,4,24,0,0,27,5,1,1,6.41,6.99,6.89,6.53,4.94,1.86,0.1,롯데 자이언츠,12930,4300,2021,투수,,,,,,,,,,,,,,,,,,,,,
박선우,투수,0.08,1,0,1,0,0,0,0,0,0,0,2.0,0,0,0.0,9,1,0,0,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,5.62,0.5,0.08,롯데 자이언츠,12569,3300,2021,투수,,,,,,,,,,,,,,,,,,,,,
배성근,유격수,0.08,2,0,2,1,0,0,0,0,0,0,2.0,0,0,0.0,9,2,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4.07,1.5,0.08,롯데 자이언츠,13279,3200,2021,투수,,,,,,,,,,,,,,,,,,,,,
윤성빈,투수,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,5,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,6.87,1.0,0.04,롯데 자이언츠,12928,3100,2021,투수,,,,,,,,,,,,,,,,,,,,,
김민수,3루수,0.04,1,0,1,0,0,0,0,0,0,0,1.0,0,0,0.0,4,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4.37,1.0,0.04,롯데 자이언츠,12931,3200,2021,투수,,,,,,,,,,,,,,,,,,,,,
추재현,우익수,0.04,1,0,1,0,0,0,0,0,0,0,1.0,0,0,0.0,4,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9.97,2.0,0.04,롯데 자이언츠,13094,3400,2021,투수,,,,,,,,,,,,,,,,,,,,,
오윤석,2루수,0.03,1,0,1,1,0,0,0,0,0,0,0.2,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.77,0.0,0.03,롯데 자이언츠,11397,6000,2021,투수,,,,,,,,,,,,,,,,,,,,,
강동호,투수,0.01,1,0,1,1,0,0,0,0,0,0,1.1,1,1,1.0,7,1,1,0,0,1,1,0,1,0,0,1,6.75,6.75,6.75,6.07,6.54,1.5,0.01,롯데 자이언츠,12927,3500,2021,투수,,,,,,,,,,,,,,,,,,,,,
정우준,투수,0.0,6,0,6,2,0,0,0,0,0,0,5.2,6,6,4.45,29,6,2,0,1,5,2,0,4,0,0,0,9.53,9.53,7.07,6.91,7.93,1.94,0.0,롯데 자이언츠,14795,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
홍민기,투수,-0.01,1,0,1,0,0,0,0,0,0,0,0.1,1,1,0.5,3,0,0,0,0,2,0,0,0,0,0,0,27.0,27.0,13.5,12.14,22.37,6.0,-0.01,롯데 자이언츠,14625,3100,2021,투수,,,,,,,,,,,,,,,,,,,,,
강태율,포수,-0.02,1,0,1,1,0,0,0,0,0,0,0.1,0,0,0.7,3,2,1,0,0,0,0,0,0,0,0,0,0.0,0.0,18.9,17.0,3.77,6.0,-0.02,롯데 자이언츠,11388,3200,2021,투수,,,,,,,,,,,,,,,,,,,,,
박재민,투수,-0.07,5,0,5,2,0,0,0,0,0,0,2.2,5,5,3.65,13,3,1,0,1,2,0,0,2,0,0,0,16.88,16.88,12.32,11.13,8.68,1.88,-0.07,롯데 자이언츠,14623,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
나원탁,투수,-0.09,2,0,2,1,0,0,0,0,0,0,2.0,3,3,3.0,10,1,0,1,0,3,0,0,3,0,0,1,13.5,13.5,13.5,15.48,4.67,2.0,-0.09,롯데 자이언츠,12935,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
이강준,투수,-0.13,11,0,11,0,0,0,0,0,0,0,5.2,6,7,6.1,34,7,1,0,1,9,2,0,4,0,0,2,9.53,11.12,9.69,8.79,10.12,2.82,-0.13,롯데 자이언츠,14601,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
오현택,투수,-0.14,20,0,20,4,0,0,0,1,0,1,16.1,12,13,14.0,87,28,7,0,2,8,1,2,8,1,0,0,6.61,7.16,7.71,7.09,5.33,2.2,-0.14,롯데 자이언츠,10210,7500,2021,투수,,,,,,,,,,,,,,,,,,,,,
정성종,투수,-0.15,12,0,12,3,0,0,0,0,0,0,12.0,11,12,12.85,65,19,1,0,2,8,1,0,4,2,0,2,8.25,9.0,9.64,9.3,7.24,2.25,-0.15,롯데 자이언츠,13147,4800,2021,투수,,,,,,,,,,,,,,,,,,,,,
김동우,투수,-0.17,5,0,5,2,0,0,0,0,0,0,5.0,6,7,7.35,30,10,0,0,1,5,0,0,3,1,0,2,10.8,12.6,13.23,13.1,7.75,3.0,-0.17,롯데 자이언츠,13149,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
강윤구,투수,-0.18,21,0,21,1,0,0,0,1,0,3,14.0,11,11,12.85,67,16,3,0,2,12,1,1,12,0,0,0,7.07,7.07,8.26,7.48,5.98,2.0,-0.18,롯데 자이언츠,10423,10000,2021,투수,,,,,,,,,,,,,,,,,,,,,
김유영,투수,-0.26,26,0,26,7,0,0,1,0,0,0,18.2,15,16,18.1,92,21,4,0,1,14,2,0,17,1,0,2,7.23,7.71,8.73,8.35,4.78,1.88,-0.26,롯데 자이언츠,11229,4500,2021,투수,,,,,,,,,,,,,,,,,,,,,
서준원,투수,-0.3,26,8,18,3,0,0,1,3,0,3,54.0,44,46,46.9,257,72,13,2,5,29,2,3,37,2,0,1,7.33,7.67,7.82,7.6,4.82,1.87,-0.3,롯데 자이언츠,14159,8500,2021,투수,,,,,,,,,,,,,,,,,,,,,
노경은,투수,-0.31,14,11,3,0,0,0,3,5,0,0,56.1,46,50,50.85,269,79,16,1,11,24,4,0,35,2,0,3,7.35,7.99,8.12,7.85,6.08,1.83,-0.31,롯데 자이언츠,10203,20000,2021,투수,,,,,,,,,,,,,,,,,,,,,
김창훈,투수,-0.33,6,0,6,3,0,0,0,0,0,0,8.0,10,10,10.7,41,13,4,0,1,6,0,0,6,0,0,0,11.25,11.25,12.04,11.72,5.7,2.38,-0.33,롯데 자이언츠,14793,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
한승혁,투수,-0.39,7,0,7,1,0,0,0,0,0,0,4.0,6,6,7.7,25,6,1,0,1,5,1,0,5,1,0,2,13.5,13.5,17.33,15.76,8.27,2.75,-0.39,롯데 자이언츠,12590,3400,2021,투수,,,,,,,,,,,,,,,,,,,,,
박진형,투수,-0.52,22,0,22,6,0,0,2,1,0,0,16.0,14,14,16.95,81,25,6,2,1,10,0,1,23,0,0,0,7.88,7.88,9.53,8.9,2.66,2.19,-0.52,롯데 자이언츠,11425,12000,2021,투수,,,,,,,,,,,,,,,,,,,,,
송재영,투수,-0.59,19,0,19,1,0,0,0,2,0,1,14.2,22,23,19.6,79,24,6,0,3,12,1,0,13,1,0,1,13.5,14.11,12.03,11.04,6.73,2.45,-0.59,롯데 자이언츠,14794,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
멩덴,투수,3.28,21,21,0,0,0,0,8,3,0,0,120.0,48,53,51.95,502,109,18,2,12,35,8,0,104,7,3,2,3.6,3.97,3.9,3.95,3.9,1.2,3.28,KIA 타이거즈,14755,42500,2021,투수,,,,,,,,,,,,,,,,,,,,,
임기영,투수,3.17,28,28,0,0,0,0,8,8,0,0,153.0,83,85,78.95,662,155,29,1,15,45,11,0,129,7,2,6,4.88,5.0,4.64,4.54,3.96,1.31,3.17,KIA 타이거즈,10909,10000,2021,투수,,,,,,,,,,,,,,,,,,,,,
이의리,투수,2.76,19,19,0,0,0,0,4,5,0,0,94.2,38,42,41.0,404,69,11,0,6,56,2,0,93,6,0,5,3.61,3.99,3.9,3.79,3.96,1.32,2.76,KIA 타이거즈,14788,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
정해영,투수,2.69,64,0,64,58,0,0,5,4,34,0,65.1,16,18,22.8,272,49,10,0,5,28,4,1,49,2,0,1,2.2,2.48,3.14,3.1,4.27,1.18,2.69,KIA 타이거즈,14608,7000,2021,투수,,,,,,,,,,,,,,,,,,,,,
장현식,투수,2.56,69,0,69,5,0,0,1,5,1,34,76.2,28,28,29.4,336,67,7,1,7,42,3,1,80,3,0,8,3.29,3.29,3.45,3.48,4.06,1.42,2.56,KIA 타이거즈,11164,10500,2021,투수,,,,,,,,,,,,,,,,,,,,,
브룩스,투수,2.27,13,13,0,0,0,0,3,5,0,0,78.0,29,34,32.1,333,93,12,1,4,16,1,0,55,4,0,0,3.35,3.92,3.7,3.77,3.29,1.4,2.27,KIA 타이거즈,14610,100000,2021,투수,,,,,,,,,,,,,,,,,,,,,
윤중현,투수,1.38,30,13,17,6,0,0,5,6,0,2,82.2,36,44,42.6,373,91,7,1,7,31,14,0,33,10,0,2,3.92,4.79,4.64,4.76,5.46,1.48,1.38,KIA 타이거즈,13122,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
다카하시,투수,0.44,7,7,0,0,0,0,1,3,0,0,36.2,20,22,22.0,168,46,4,0,4,12,4,0,46,2,0,4,4.91,5.4,5.4,5.4,3.28,1.58,0.44,KIA 타이거즈,14994,6000,2021,투수,,,,,,,,,,,,,,,,,,,,,
전상현,투수,0.37,15,0,15,0,0,0,1,0,0,7,13.0,5,6,5.15,59,15,3,0,1,6,0,0,8,0,0,1,3.46,4.15,3.57,3.6,4.57,1.62,0.37,KIA 타이거즈,12537,14000,2021,투수,,,,,,,,,,,,,,,,,,,,,
김재열,투수,0.3,24,0,24,10,0,0,1,0,0,0,32.2,14,18,19.55,152,28,4,0,4,18,4,0,18,5,2,1,3.86,4.96,5.39,5.45,5.93,1.41,0.3,KIA 타이거즈,14747,3200,2021,투수,,,,,,,,,,,,,,,,,,,,,
장지수,투수,0.29,9,0,9,5,0,0,0,0,0,0,14.1,5,6,6.0,67,9,2,0,1,13,3,0,5,1,0,1,3.14,3.77,3.77,3.78,7.19,1.53,0.29,KIA 타이거즈,14178,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
한승혁,투수,0.24,8,5,3,2,0,0,0,3,0,0,23.2,12,15,14.5,103,25,5,1,0,10,2,0,17,4,0,2,4.56,5.7,5.51,5.53,3.54,1.48,0.24,KIA 타이거즈,10812,5000,2021,투수,,,,,,,,,,,,,,,,,,,,,
김현준,투수,0.2,19,0,19,7,0,0,0,1,0,2,19.2,12,13,11.8,83,15,1,0,4,12,0,0,19,0,0,0,5.49,5.95,5.4,5.19,5.66,1.37,0.2,KIA 타이거즈,12533,3100,2021,투수,,,,,,,,,,,,,,,,,,,,,
장민기,투수,0.15,21,0,21,7,0,0,2,1,0,2,23.1,9,11,14.75,114,13,3,1,1,29,4,0,22,1,0,2,3.47,4.24,5.69,5.51,6.3,1.8,0.15,KIA 타이거즈,14789,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
박건우,투수,0.12,3,0,3,2,0,0,0,0,0,0,3.0,0,0,0.0,11,2,0,0,0,1,1,0,3,0,0,0,0.0,0.0,0.0,0.0,3.33,1.0,0.12,KIA 타이거즈,14786,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,
박진태,투수,0.0,59,0,59,10,0,0,3,3,0,9,65.0,43,44,44.9,305,68,10,0,6,36,13,0,45,3,0,5,5.95,6.09,6.22,6.12,5.47,1.6,0.0,KIA 타이거즈,12913,5000,2021,투수,,,,,,,,,,,,,,,,,,,,,
황윤호,3루수,-0.05,1,0,1,1,0,0,0,0,0,0,0.2,0,1,1.7,4,2,0,0,0,0,0,0,0,0,0,0,0.0,13.5,22.95,21.79,3.77,3.0,-0.05,KIA 타이거즈,11363,4500,2021,투수,,,,,,,,,,,,,,,,,,,,,
변시원,투수,-0.06,1,0,1,0,0,0,0,0,0,0,0.2,2,2,1.5,7,1,0,0,0,3,1,0,0,0,0,0,27.0,27.0,20.25,20.31,22.37,6.0,-0.06,KIA 타이거즈,10882,4000,2021,투수,,,,,,,,,,,,,,,,,,,,,
최정용,2루수,-0.07,1,0,1,1,0,0,0,0,0,0,0.1,0,0,1.55,2,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,41.85,44.31,3.77,3.0,-0.07,KIA 타이거즈,11407,3800,2021,투수,,,,,,,,,,,,,,,,,,,,,
차명진,투수,-0.09,4,3,1,0,0,0,0,1,0,0,10.2,9,9,8.65,57,12,3,0,1,13,1,0,6,0,0,0,7.59,7.59,7.3,7.76,7.54,2.34,-0.09,KIA 타이거즈,11263,3300,2021,투수,,,,,,,,,,,,,,,,,,,,,
이준영,투수,-0.13,50,1,49,4,0,0,3,2,1,9,35.2,22,25,24.7,159,30,5,0,3,19,0,1,26,5,0,3,5.55,6.31,6.23,6.47,4.51,1.37,-0.13,KIA 타이거즈,11303,6000,2021,투수,,,,,,,,,,,,,,,,,,,,,
박준표,투수,-0.15,32,0,32,2,0,0,2,4,0,4,32.0,21,24,22.5,158,42,9,1,3,17,9,0,18,2,0,0,5.91,6.75,6.33,6.37,5.99,1.84,-0.15,KIA 타이거즈,11070,16000,2021,투수,,,,,,,,,,,,,,,,,,,,,
